INPUT_DATE	PYLON	PYLON1	PYLON2
2005/02/07 14:41:30	96	57	97
2005/02/07 14:41:40	96	57	97
2005/02/07 14:41:50	96	57	97
2005/02/07 14:42:00	96	57	97
2005/02/07 14:42:10	96	57	97
2005/02/07 14:42:20	96	57	97
2005/02/07 14:42:30	96	57	97
2005/02/07 14:42:40	96	57	97
2005/02/07 14:42:50	96	57	97
2005/02/07 14:43:00	96	57	97
2005/02/07 14:43:10	96	57	97
2005/02/07 14:43:20	96	57	97
2005/02/07 14:43:30	96	57	97
2005/02/07 14:43:40	96	57	97
2005/02/07 14:43:50	96	57	97
2005/02/07 14:44:00	96	57	97
2005/02/07 14:44:10	96	57	97
2005/02/07 14:44:20	96	57	97
2005/02/07 14:44:30	96	57	97
2005/02/07 14:44:40	96	57	97
2005/02/07 14:44:50	96	57	97
2005/02/07 14:45:00	96	57	97
2005/02/07 14:45:10	96	57	97
2005/02/07 14:45:20	96	57	97
2005/02/07 14:45:30	96	57	97
2005/02/07 14:45:40	96	57	97
2005/02/07 14:45:50	96	57	97
2005/02/07 14:46:00	96	57	97
2005/02/07 14:46:10	96	57	97
2005/02/07 14:46:20	96	57	97
2005/02/07 14:46:30	96	57	97
2005/02/07 14:46:40	96	57	97
2005/02/07 14:46:50	96	57	97
2005/02/07 14:47:00	96	57	97
2005/02/07 14:47:10	96	57	97
2005/02/07 14:47:20	96	57	97
2005/02/07 14:47:30	96	57	97
2005/02/07 14:47:40	96	57	97
2005/02/07 14:47:50	96	57	97
2005/02/07 14:48:00	96	57	97
2005/02/07 14:48:10	96	57	97
2005/02/07 14:48:20	96	57	97
2005/02/07 14:48:30	96	57	97
2005/02/07 14:48:40	96	57	97
2005/02/07 14:48:50	96	57	97
2005/02/07 14:49:00	96	57	97
2005/02/07 14:49:10	96	57	97
2005/02/07 14:49:20	96	57	97
2005/02/07 14:49:30	96	57	97
2005/02/07 14:49:40	96	57	97
2005/02/07 14:49:50	96	57	97
2005/02/07 14:50:00	96	57	97
2005/02/07 14:50:10	96	57	97
2005/02/07 14:50:20	96	57	97
2005/02/07 14:50:30	96	57	97
2005/02/07 14:50:40	96	57	97
2005/02/07 14:50:50	96	57	97
2005/02/07 14:51:00	96	57	97
2005/02/07 14:51:10	96	57	97
2005/02/07 14:51:20	96	57	97
2005/02/07 14:51:30	96	57	97
2005/02/07 14:51:40	96	57	97
2005/02/07 14:51:50	96	57	97
2005/02/07 14:52:00	96	57	97
2005/02/07 14:52:10	96	57	97
2005/02/07 14:52:20	96	57	97
2005/02/07 14:52:30	96	57	97
2005/02/07 14:52:40	96	57	97
2005/02/07 14:52:50	96	57	97
2005/02/07 14:53:00	96	57	97
2005/02/07 14:53:10	96	57	97
2005/02/07 14:53:20	96	57	97
2005/02/07 14:53:30	96	57	97
2005/02/07 14:53:40	96	57	97
2005/02/07 14:53:50	96	57	97
2005/02/07 14:54:00	96	57	97
2005/02/07 14:54:10	96	57	97
2005/02/07 14:54:20	96	57	97
2005/02/07 14:54:30	96	57	97
2005/02/07 14:54:40	96	57	97
INPUT_DATE	/	/usr/local	/home1
2005/02/07 14:24:50	96	57	97
2005/02/07 14:25:00	96	57	97
2005/02/07 14:25:10	96	57	97
2005/02/07 14:25:20	96	57	97
2005/02/07 14:25:30	96	57	97
2005/02/07 14:25:40	96	57	97
2005/02/07 14:25:50	96	57	97
2005/02/07 14:26:00	96	57	97
2005/02/07 14:26:10	96	57	97
2005/02/07 14:26:20	96	57	97
2005/02/07 14:26:30	96	57	97
2005/02/07 14:26:40	96	57	97
2005/02/07 14:26:50	96	57	97
2005/02/07 14:27:00	96	57	97
2005/02/07 14:27:10	96	57	97
2005/02/07 14:27:20	96	57	97
2005/02/07 14:27:30	96	57	97
2005/02/07 14:27:40	96	57	97
2005/02/07 14:27:50	96	57	97
2005/02/07 14:28:00	96	57	97
2005/02/07 14:28:10	96	57	97
2005/02/07 14:28:20	96	57	97
2005/02/07 14:28:30	96	57	97
2005/02/07 14:28:40	96	57	97
2005/02/07 14:28:50	96	57	97
2005/02/07 14:29:00	96	57	97
